"J","seed","bad_position","M","p","kGreater","kEqual","MC_lower","MC_upper","exact_population_midp","reference_outside","at_001_disagrees"
23,44,6,1e+05,0.00025,23,4,0.000145805679998843,0.000392811696743018,0.000601457319643434,TRUE,FALSE
23,44,7,1e+05,0.000305,27,7,0.000177939003306621,0.000475083821941101,0.000601457319643434,TRUE,FALSE
23,44,8,1e+05,0.000805,78,5,0.000616604947007356,0.00102880753406032,0.000601457319643434,TRUE,FALSE
23,44,9,1e+05,0.00017,11,12,5.49128416645762e-05,0.000345093065154408,0.000601457319643434,TRUE,FALSE
23,44,10,1e+05,0.00084,83,2,0.000661142907799843,0.00105093249916522,0.000601457319643434,TRUE,FALSE
23,44,11,1e+05,0.000415,35,13,0.000243799553146012,0.000636360588109874,0.000601457319643434,FALSE,FALSE
23,44,12,1e+05,0.00086,85,2,0.00067900449744383,0.00107303277029988,0.000601457319643434,TRUE,FALSE
23,44,13,1e+05,0.001115,109,5,0.000895086234021403,0.00136933106365834,0.000601457319643434,TRUE,FALSE
23,44,14,1e+05,0.00068,66,4,0.000510479577680588,0.000884326333679394,0.000601457319643434,FALSE,FALSE
23,44,15,1e+05,0.000635,61,5,0.000466632793839761,0.000839606379174099,0.000601457319643434,FALSE,FALSE
23,44,16,1e+05,0.000585,56,5,0.00042304484468993,0.000783502510737735,0.000601457319643434,FALSE,FALSE
23,44,17,1e+05,0.00072,70,4,0.000545723725480485,0.000928914433127823,0.000601457319643434,FALSE,FALSE
23,44,18,1e+05,0.000875,87,1,0.000696891200898007,0.00108407390948697,0.000601457319643434,TRUE,FALSE
23,44,19,1e+05,0.000925,88,9,0.000705843699049656,0.00118319150730553,0.000601457319643434,TRUE,FALSE
23,44,20,1e+05,0.001145,114,1,0.000940448618501324,0.00138024178123324,0.000601457319643434,TRUE,FALSE
23,44,21,1e+05,0.000345,34,1,0.000235471015382085,0.000486731986144492,0.000601457319643434,TRUE,FALSE
23,44,22,1e+05,0.00076,74,4,0.000581102444555379,0.000973381117133156,0.000601457319643434,FALSE,FALSE
23,44,23,1e+05,0.00105,103,4,0.000840794770241369,0.001292841287611,0.000601457319643434,TRUE,FALSE
